#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
5159.8;0;229;0;2;0/5159.8;0/3989.46,1/4058.32;0/0;0/5159.8,1/5159.8;0/0;0/60,1/54;0/0;0/60,1/56;0/0;0/0,1/0;0/0;0/118,1/111;0/0;0/119,1/112
5219.76;0;232;0;2;0/5219.76;0/4049.42,1/4096.23;0/0;0/5219.76,1/5219.76;0/0;0/58,1/52;0/0;0/60,1/53;0/0;0/0,1/0;0/0;0/118,1/114;0/0;0/119,1/115
5279.86;0;234;0;2;0/5279.86;0/4099.9,1/4138.76;0/0;0/5279.86,1/5279.86;0/0;0/58,1/58;0/0;0/59,1/58;0/0;0/0,1/0;0/0;0/119,1/115;0/0;0/120,1/116
5339.68;0;236;0;2;0/5339.68;0/4150.12,1/4197.94;0/0;0/5339.68,1/5339.68;0/0;0/59,1/56;0/0;0/61,1/57;0/0;0/0,1/0;0/0;0/120,1/116;0/0;0/121,1/117
5399.82;0;239;0;2;0/5399.82;0/4190.46,1/4239.18;0/0;0/5399.82,1/5399.82;0/0;0/57,1/59;0/0;0/59,1/60;0/0;0/0,1/0;0/0;0/122,1/117;0/0;0/123,1/118
5459.82;0;243;0;2;0/5459.82;0/4230.54,1/4287.56;0/0;0/5459.82,1/5459.82;0/0;0/57,1/58;0/0;0/57,1/61;0/0;0/0,1/0;0/0;0/124,1/119;0/0;0/125,1/120
5519.88;0;246;0;2;0/5519.88;0/4290.6,1/4315.07;0/0;0/5519.88,1/5519.88;0/0;0/56,1/57;0/0;0/57,1/58;0/0;0/0,1/0;0/0;0/124,1/122;0/0;0/125,1/123
5579.67;0;248;0;2;0/5579.67;0/4340.67,1/4359.78;0/0;0/5579.67,1/5579.67;0/0;0/59,1/58;0/0;0/59,1/61;0/0;0/0,1/0;0/0;0/125,1/123;0/0;0/126,1/124
5639.65;0;251;0;2;0/5639.65;0/4400.66,1/4391.62;0/0;0/5639.65,1/5639.65;0/0;0/59,1/57;0/0;0/59,1/58;0/0;0/0,1/0;0/0;0/125,1/126;0/0;0/126,1/127
5699.73;0;252;0;2;0/5699.73;0/4460.74,1/4440.28;0/0;0/5699.73,1/5699.73;0/0;0/57,1/60;0/0;0/59,1/61;0/0;0/0,1/0;0/0;0/125,1/127;0/0;0/126,1/128
5759.87;0;254;0;2;0/5759.87;0/4510.94,1/4490.45;0/0;0/5759.87,1/5759.87;0/0;0/56,1/58;0/0;0/58,1/60;0/0;0/0,1/0;0/0;0/126,1/128;0/0;0/127,1/129
5819.87;0;258;0;2;0/5819.87;0/4551.33,1/4530.91;0/0;0/5819.87,1/5819.87;0/0;0/57,1/57;0/0;0/59,1/58;0/0;0/0,1/0;0/0;0/128,1/130;0/0;0/129,1/131
5879.59;0;262;0;2;0/5879.59;0/4591.14,1/4578.45;0/0;0/5879.59,1/5879.59;0/0;0/56,1/58;0/0;0/57,1/59;0/0;0/0,1/0;0/0;0/130,1/132;0/0;0/131,1/133
5939.66;0;265;0;2;0/5939.66;0/4641.42,1/4615.4;0/0;0/5939.66,1/5939.66;0/0;0/55,1/56;0/0;0/56,1/57;0/0;0/0,1/0;0/0;0/131,1/134;0/0;0/132,1/135
5999.89;0;268;0;2;0/5999.89;0/4691.91,1/4651.55;0/0;0/5999.89,1/5999.89;0/0;0/57,1/59;0/0;0/59,1/59;0/0;0/0,1/0;0/0;0/132,1/136;0/0;0/133,1/137
6059.99;0;270;0;2;0/6059.99;0/4732.57,1/4711.66;0/0;0/6059.99,1/6059.99;0/0;0/58,1/58;0/0;0/60,1/59;0/0;0/0,1/0;0/0;0/134,1/136;0/0;0/135,1/137
6119.97;0;273;0;2;0/6119.97;0/4772.63,1/4761.67;0/0;0/6119.97,1/6119.97;0/0;0/56,1/56;0/0;0/58,1/58;0/0;0/0,1/0;0/0;0/136,1/137;0/0;0/137,1/138
6179.6;0;277;0;2;0/6179.6;0/4812.67,1/4804.38;0/0;0/6179.6,1/6179.6;0/0;0/53,1/56;0/0;0/56,1/56;0/0;0/0,1/0;0/0;0/138,1/139;0/0;0/139,1/140
6239.65;0;280;0;2;0/6239.65;0/4843.45,1/4861.82;0/0;0/6239.65,1/6239.65;0/0;0/56,1/55;0/0;0/57,1/56;0/0;0/0,1/0;0/0;0/141,1/139;0/0;0/142,1/140
6299.7;0;282;0;2;0/6299.7;0/4893.56,1/4911.95;0/0;0/6299.7,1/6299.7;0/0;0/57,1/54;0/0;0/60,1/55;0/0;0/0,1/0;0/0;0/142,1/140;0/0;0/143,1/141
6359.98;0;285;0;2;0/6359.98;0/4934.06,1/4962.62;0/0;0/6359.98,1/6359.98;0/0;0/54,1/57;0/0;0/58,1/57;0/0;0/0,1/0;0/0;0/144,1/141;0/0;0/145,1/142
6419.83;0;290;0;2;0/6419.83;0/4954.39,1/5012.51;0/0;0/6419.83,1/6419.83;0/0;0/57,1/56;0/0;0/58,1/56;0/0;0/0,1/0;0/0;0/148,1/142;0/0;0/149,1/143
6479.61;0;292;0;2;0/6479.61;0/5004.35,1/5062.55;0/0;0/6479.61,1/6479.61;0/0;0/57,1/54;0/0;0/57,1/55;0/0;0/0,1/0;0/0;0/149,1/143;0/0;0/150,1/144
6539.94;0;294;0;2;0/6539.94;0/5057.24,1/5113.14;0/0;0/6539.94,1/6539.94;0/0;0/55,1/53;0/0;0/56,1/54;0/0;0/0,1/0;0/0;0/150,1/144;0/0;0/151,1/145
6599.8;0;297;0;2;0/6599.8;0/5108.81,1/5155.15;0/0;0/6599.8,1/6599.8;0/0;0/55,1/56;0/0;0/58,1/56;0/0;0/0,1/0;0/0;0/151,1/146;0/0;0/152,1/147
6659.66;0;300;0;2;0/6659.66;0/5140.8,1/5213.02;0/0;0/6659.66,1/6659.66;0/0;0/54,1/55;0/0;0/55,1/56;0/0;0/0,1/0;0/0;0/154,1/146;0/0;0/155,1/147
6720;0;301;0;2;0/6720;0/5185.5,1/5273.36;0/0;0/6720,1/6720;0/0;0/55,1/55;0/0;0/57,1/56;0/0;0/0,1/0;0/0;0/155,1/146;0/0;0/156,1/147
6779.95;0;304;0;2;0/6779.95;0/5225.87,1/5323.54;0/0;0/6779.95,1/6779.95;0/0;0/52,1/55;0/0;0/55,1/55;0/0;0/0,1/0;0/0;0/157,1/147;0/0;0/158,1/148
6839.63;0;306;0;2;0/6839.63;0/5265.68,1/5383.23;0/0;0/6839.63,1/6839.63;0/0;0/50,1/55;0/0;0/53,1/55;0/0;0/0,1/0;0/0;0/159,1/147;0/0;0/160,1/148
