#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
5399.79;0;121;0;2;0/5399.79;0/311.71,1/1926.69;0/0;0/5399.79,1/5399.79;0/0;0/13,1/12;0/0;0/13,1/17;0/0;0/0,1/0;0/0;0/72,1/49;0/0;0/520,1/355
5459.61;0;123;0;2;0/5459.61;0/343.85,1/1928.99;0/0;0/5459.61,1/5459.61;0/0;0/13,1/15;0/0;0/13,1/20;0/0;0/0,1/0;0/0;0/73,1/50;0/0;0/523,1/361
5519.72;0;123;0;2;0/5519.72;0/346.14,1/1930.25;0/0;0/5519.72,1/5519.72;0/0;0/13,1/15;0/0;0/14,1/20;0/0;0/0,1/0;0/0;0/73,1/50;0/0;0/528,1/367
5579.76;0;125;0;2;0/5579.76;0/376.96,1/1931.89;0/0;0/5579.76,1/5579.76;0/0;0/12,1/16;0/0;0/12,1/20;0/0;0/0,1/0;0/0;0/74,1/51;0/0;0/532,1/373
5639.93;0;125;0;2;0/5639.93;0/378.99,1/1934.37;0/0;0/5639.93,1/5639.93;0/0;0/11,1/13;0/0;0/11,1/17;0/0;0/0,1/0;0/0;0/74,1/51;0/0;0/538,1/379
5699.84;0;125;0;2;0/5699.84;0/429.24,1/1936.82;0/0;0/5699.84,1/5699.84;0/0;0/14,1/12;0/0;0/14,1/17;0/0;0/0,1/0;0/0;0/74,1/51;0/0;0/538,1/385
5759.84;0;125;0;2;0/5759.84;0/489.24,1/1939.25;0/0;0/5759.84,1/5759.84;0/0;0/14,1/9;0/0;0/14,1/14;0/0;0/0,1/0;0/0;0/74,1/51;0/0;0/538,1/391
5819.99;0;126;0;2;0/5819.99;0/549.39,1/1941.73;0/0;0/5819.99,1/5819.99;0/0;0/13,1/13;0/0;0/14,1/17;0/0;0/0,1/0;0/0;0/74,1/52;0/0;0/538,1/397
5879.93;0;128;0;2;0/5879.93;0/553.27,1/1943.55;0/0;0/5879.93,1/5879.93;0/0;0/13,1/10;0/0;0/14,1/14;0/0;0/0,1/0;0/0;0/75,1/53;0/0;0/544,1/403
5939.99;0;131;0;2;0/5939.99;0/577.88,1/1946.06;0/0;0/5939.99,1/5939.99;0/0;0/13,1/16;0/0;0/13,1/21;0/0;0/0,1/0;0/0;0/77,1/54;0/0;0/548,1/408
5999.84;0;132;0;2;0/5999.84;0/601.23,1/1947.28;0/0;0/5999.84,1/5999.84;0/0;0/14,1/13;0/0;0/15,1/18;0/0;0/0,1/0;0/0;0/77,1/55;0/0;0/551,1/414
6059.81;0;134;0;2;0/6059.81;0/646.59,1/1949.19;0/0;0/6059.81,1/6059.81;0/0;0/13,1/8;0/0;0/13,1/12;0/0;0/0,1/0;0/0;0/79,1/55;0/0;0/553,1/420
6119.99;0;140;0;2;0/6119.99;0/692.03,1/1950.83;0/0;0/6119.99,1/6119.99;0/0;0/12,1/0;0/0;0/12,1/6;0/0;0/0,1/0;0/0;0/80,1/60;0/0;0/554,1/426
6179.82;0;146;0;2;0/6179.82;0/720.48,1/1953.14;0/0;0/6179.82,1/6179.82;0/0;0/4,1/0;0/0;0/8,1/0;0/0;0/0,1/0;0/0;0/81,1/65;0/0;0/558,1/432
6239.78;0;149;0;2;0/6239.78;0/723.41,1/2008.64;0/0;0/6239.78,1/6239.78;0/0;0/0,1/0;0/0;0/3,1/0;0/0;0/0,1/0;0/0;0/84,1/65;0/0;0/563,1/432
6299.71;0;151;0;2;0/6299.71;0/753.84,1/2068.58;0/0;0/6299.71,1/6299.71;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6359.82;0;151;0;2;0/6359.82;0/813.95,1/2128.68;0/0;0/6359.82,1/6359.82;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6419.93;0;151;0;2;0/6419.93;0/874.06,1/2188.79;0/0;0/6419.93,1/6419.93;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6479.62;0;151;0;2;0/6479.62;0/933.75,1/2248.48;0/0;0/6479.62,1/6479.62;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6539.65;0;151;0;2;0/6539.65;0/993.78,1/2308.51;0/0;0/6539.65,1/6539.65;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6599.66;0;151;0;2;0/6599.66;0/1053.79,1/2368.53;0/0;0/6599.66,1/6599.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6659.66;0;151;0;2;0/6659.66;0/1113.79,1/2428.53;0/0;0/6659.66,1/6659.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6719.66;0;151;0;2;0/6719.66;0/1173.79,1/2488.53;0/0;0/6719.66,1/6719.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6779.66;0;151;0;2;0/6779.66;0/1233.79,1/2548.53;0/0;0/6779.66,1/6779.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6839.66;0;151;0;2;0/6839.66;0/1293.79,1/2608.53;0/0;0/6839.66,1/6839.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6899.66;0;151;0;2;0/6899.66;0/1353.79,1/2668.53;0/0;0/6899.66,1/6899.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
6959.66;0;151;0;2;0/6959.66;0/1413.79,1/2728.53;0/0;0/6959.66,1/6959.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/65;0/0;0/566,1/432
